ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,27.89,29.31,50.00,28.68
2016 Primary,6.92,6.26,25.00,6.59
2016 Primary Runoff,3.10,2.98,0.00,3.03
2016 General,55.09,56.80,71.43,56.04
2018 Primary,14.75,15.47,11.11,15.12
2018 Primary Runoff,13.58,12.76,22.22,13.18
2018 General,53.13,56.53,55.56,54.93
