ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,20.44,31.22,0.00,26.24
2016 Primary,12.57,14.09,0.00,13.33
2016 Primary Runoff,9.34,11.82,0.00,10.64
2016 General,45.23,57.33,0.00,51.50
2018 Primary,18.18,20.26,0.00,19.26
2018 Primary Runoff,4.64,6.52,0.00,5.65
2018 General,42.79,58.13,0.00,50.99
