ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,31.81,41.78,0.00,37.41
2016 Primary,20.34,26.12,0.00,23.56
2016 Primary Runoff,13.71,18.74,0.00,16.53
2016 General,56.67,65.72,0.00,61.66
2018 Primary,20.93,26.91,0.00,24.20
2018 Primary Runoff,6.52,8.70,0.00,7.73
2018 General,50.95,60.63,0.00,56.20
