ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,31.60,32.74,0.00,32.14
2016 Primary,10.65,15.64,0.00,13.42
2016 Primary Runoff,5.66,7.89,0.00,6.89
2016 General,53.01,64.52,50.00,59.38
2018 Primary,19.35,24.32,0.00,21.95
2018 Primary Runoff,8.82,10.00,16.67,9.50
2018 General,53.23,63.34,42.86,58.59
