ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,43.45,0.00,0.00,40.00,36.36,33.91,42.29
2016 Primary,0.00,28.98,0.00,0.00,14.29,20.00,20.00,27.84
2016 Primary Runoff,0.00,24.33,0.00,0.00,6.67,20.00,17.43,23.39
2016 General,0.00,66.09,75.00,0.00,58.82,50.00,55.05,64.81
2018 Primary,0.00,33.81,25.00,0.00,22.22,27.27,26.98,32.83
2018 Primary Runoff,0.00,15.84,0.00,0.00,5.56,9.09,11.57,15.14
2018 General,0.00,63.93,50.00,0.00,57.89,38.89,51.18,62.09
