ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,40.84,44.01,0.00,42.50
2016 Primary,9.70,9.54,0.00,9.61
2016 Primary Runoff,2.24,2.43,0.00,2.34
2016 General,68.85,69.64,50.00,69.24
2018 Primary,26.05,27.70,0.00,26.88
2018 Primary Runoff,15.63,14.73,0.00,15.13
2018 General,66.63,67.20,100.0,66.98
