ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,33.10,33.30,0.00,33.16
2016 Primary,7.50,7.29,0.00,7.40
2016 Primary Runoff,3.72,3.51,0.00,3.62
2016 General,53.91,60.58,66.67,56.82
2018 Primary,17.34,19.69,25.00,18.37
2018 Primary Runoff,4.84,4.90,25.00,4.90
2018 General,52.53,57.48,50.00,54.66
