ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,17.72,17.27,24.32,0.00,26.67,36.37,23.53,28.71
2016 Primary,2.27,5.22,3.45,0.00,6.33,9.77,4.09,7.29
2016 Primary Runoff,2.10,3.77,2.48,0.00,3.60,5.90,1.67,4.78
2016 General,62.16,49.37,56.62,0.00,57.99,69.88,56.03,64.71
2018 Primary,11.51,12.29,12.93,0.00,16.56,25.20,14.36,21.16
2018 Primary Runoff,1.98,2.44,2.98,0.00,1.24,8.25,3.05,6.34
2018 General,54.73,47.88,52.63,20.00,54.02,67.96,52.98,62.19
