ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,16.04,19.22,25.00,17.57
2016 Primary,4.80,5.75,0.00,5.23
2016 Primary Runoff,2.02,3.12,0.00,2.54
2016 General,37.36,46.37,55.56,41.56
2018 Primary,10.08,13.19,10.00,11.53
2018 Primary Runoff,1.78,2.53,0.00,2.12
2018 General,35.80,43.80,20.00,39.47
