ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,7.41,23.04,4.55,0.00,15.38,29.33,17.47,23.98
2016 Primary,0.00,4.52,0.00,0.00,4.35,8.13,3.93,6.02
2016 Primary Runoff,0.00,2.74,0.00,0.00,0.00,0.44,1.32,0.95
2016 General,51.43,48.50,37.80,0.00,53.57,59.27,40.98,52.56
2018 Primary,9.30,15.64,2.40,0.00,4.00,18.83,10.53,14.76
2018 Primary Runoff,2.33,9.80,0.78,0.00,3.85,10.97,7.35,8.75
2018 General,52.94,58.90,31.74,0.00,38.24,56.21,33.47,49.27
