ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,16.00,26.73,10.00,0.00,40.00,40.02,35.46,37.39
2016 Primary,0.00,3.88,0.00,0.00,6.67,16.94,9.15,13.99
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,1.62,0.70,1.27
2016 General,55.56,56.57,80.00,0.00,50.00,68.40,54.90,65.04
2018 Primary,2.27,18.12,0.00,0.00,21.43,21.95,19.89,20.22
2018 Primary Runoff,4.44,12.50,0.00,0.00,14.29,19.32,12.22,16.69
2018 General,52.94,65.50,60.00,0.00,52.63,68.13,58.59,65.54
