ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,18.62,27.85,0.00,24.09
2016 Primary,8.76,14.02,0.00,11.87
2016 Primary Runoff,7.00,9.51,0.00,8.49
2016 General,44.11,60.59,0.00,53.62
2018 Primary,12.62,15.84,0.00,14.52
2018 Primary Runoff,2.76,4.41,0.00,3.75
2018 General,39.66,50.79,0.00,46.31
