COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ATKINSON,0,11.43,12.5,0,50,0,0,0,0,0,13.68,10,0,0,100,0,40.37,43.43,0,45.38,37.70,40.13
BEN HILL,0,27.16,15.19,0,26.67,18.18,0,0,0,0,9.68,6.25,0,33.33,0,0,41.06,45.11,0,37.77,27.01,38.69
BERRIEN,0,18.35,18.9,0,23.08,17.39,0,33.33,0,0,18.37,15,0,30,6.67,0,38.45,43.85,0,39.77,29.40,39.32
BIBB,0,30.49,27.11,0,30,25.24,0,27.27,42.86,0,23.77,23.58,0,22.07,27.7,0,54.56,57.08,0,47.65,39.98,51.28
BLECKLEY,0,29.76,31.08,0,50,40,0,0,0,0,41.18,9.09,0,30,11.11,0,50.35,55.05,0,46.74,31.54,49.43
BROOKS,0,36.44,36.14,0,18.52,32.14,0,0,33.33,0,26,15.15,0,30.77,11.11,0,50.94,53.22,0,48.63,41.47,48.39
COLQUITT,10,21.91,18.64,0,22.39,6.82,0,0,0,0,5.71,7.36,0,10.53,7.69,0,41.38,45.53,0,28.81,22.81,37.15
COOK,0,19.61,25.53,0,39.13,17.65,0,0,33.33,0,9.8,10.53,0,26.32,10.53,0,41.02,45.18,0,39.51,31.41,40.12
DODGE,0,30.08,27.54,0,7.69,18.18,0,66.67,100,0,20,11.76,0,31.25,18.18,100,51.38,54.78,0,42.81,36.64,48.92
HOUSTON,9.09,25.09,23.25,0,25.52,28.57,0,18.92,30,100,24.23,24.93,0,25.44,21.83,0,42.75,48.16,27.27,43.97,38.42,42.29
IRWIN,0,34.78,15.22,0,50,75,0,0,0,0,7.69,5.88,0,33.33,50,100,50.36,51.54,0,38.89,29.90,46.35
JONES,0,27.42,15.71,0,14.29,50,0,40,0,0,21.74,24,0,25.58,20.69,0,46.24,49.75,0,53.18,45.42,47.93
LANIER,0,30.13,18.62,0,15.79,7.14,0,0,0,0,6.06,21.43,0,33.33,50,0,28.91,35.21,0,35.47,29.34,31.18
LOWNDES,0,16.07,16.99,0,19.33,20.36,0,19.23,21.74,0,15.11,16.08,0,23.38,22.6,11.11,38.8,42.76,0,33.25,26.26,35.35
MONROE,14.29,37.97,35.94,0,27.5,42.55,0,0,0,0,28.89,18.92,0,21.43,31.25,0,51.94,56.02,0,49.95,36.21,50.49
PULASKI,0,23.73,19.05,0,50,30,0,0,0,0,72.73,8.33,0,9.09,22.22,0,45.23,52.8,0,39.24,32.30,44.64
TELFAIR,0,33.33,26.09,0,42.86,20,0,0,100,0,16.67,12.5,0,37.5,11.11,0,49.52,50.63,0,45.04,40.35,46.99
THOMAS,0,30.27,25.71,0,23.61,12.24,0,33.33,0,0,19.42,8.54,0,21.15,20.37,50,41.84,44.51,0,37.95,28.33,39.05
TIFT,11.11,25.54,22.08,0,22.95,25.45,0,0,0,0,11.45,10.65,0,11.24,12.68,0,44.55,48.54,0,28.92,24.65,39.23
TURNER,100,31.25,14.29,0,0,12.5,0,0,0,0,5.56,0,0,25,0,0,48.78,49.21,0,43.17,32.46,43.92
TWIGGS,50,40,33.81,0,33.33,0,0,0,0,0,23.08,14.29,0,37.5,0,0,45.03,47.49,0,57.98,45.97,48.29
WILCOX,0,50,25,0,33.33,50,0,0,100,0,7.14,5.56,0,50,0,0,46.9,48.3,0,38.92,28.62,43.18
WILKINSON,0,34.78,34.62,0,0,20,0,0,100,0,16.67,33.33,0,14.29,25,0,55.21,56.4,0,57.25,46.88,53.97
TOTAL,9.68,25.89,23.55,0.0,24.12,24.37,0,20.69,25.3,20.0,18.25,16.68,0,23.97,21.21,13.16,44.5,48.48,10.71,40.72,33.39,42.38
