,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,53.33,64.88,46.88,54.55,46.03,69.0,55.86,67.24
1,2018 General,41.77,64.08,39.91,55.0,46.22,64.62,37.8,62.16
