,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,53.12,64.2,55.65,60.87,56.95,68.7,53.17,64.99
1,2018 General,43.17,61.89,44.46,41.74,54.87,61.16,45.31,59.28
