,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,67.74,61.66,63.33,37.5,42.25,71.72,58.22,68.23
1,2018 General,47.62,56.64,50.88,25.0,41.18,62.75,44.49,59.63
