,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,46.67,65.42,22.22,100.0,34.78,70.41,51.05,68.37
1,2018 General,35.0,65.86,23.08,44.44,32.26,66.23,37.99,64.21
