,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,20.0,58.09,66.67,100.0,52.17,77.81,56.14,65.74
1,2018 General,25.0,56.87,52.38,60.0,50.0,74.34,33.92,62.43
