,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,54.55,52.82,37.5,50.0,25.0,65.28,47.88,62.96
1,2018 General,30.77,52.7,35.29,43.75,35.0,61.87,36.25,59.44
