,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,56.82,54.52,41.85,30.0,49.33,67.33,56.16,64.91
1,2018 General,36.84,56.09,36.61,16.67,45.36,62.42,40.28,59.97
