,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,55.56,60.84,40.0,50.0,50.0,69.72,51.47,66.28
1,2018 General,52.0,61.23,41.38,66.67,50.98,67.7,44.02,64.34
