,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,42.31,56.76,51.55,63.16,49.32,69.45,51.3,62.93
1,2018 General,47.06,58.1,41.84,55.0,43.21,67.08,37.83,61.2
