,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,42.5,56.14,52.5,100.0,46.88,72.14,54.12,66.85
1,2018 General,31.82,53.82,45.24,75.0,45.45,69.3,43.47,63.74
