,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,48.84,64.31,47.83,50.0,46.43,68.51,42.28,65.36
1,2018 General,47.73,59.39,42.71,40.0,54.24,65.67,26.77,60.01
