,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,44.15,55.83,51.38,69.57,47.24,61.32,47.45,57.77
1,2018 General,45.37,51.85,48.27,50.0,51.11,61.49,39.28,55.61
