,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,51.61,55.24,40.0,60.0,29.41,69.11,45.71,64.85
1,2018 General,39.29,57.96,39.13,66.67,38.1,70.9,40.52,66.32
