,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,60.53,61.36,46.98,62.5,62.9,70.07,55.92,69.01
1,2018 General,43.4,53.57,38.43,22.73,54.79,65.26,50.25,63.78
