,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,33.33,60.22,53.85,50.0,43.75,69.77,53.08,62.29
1,2018 General,50.0,62.87,33.33,100.0,41.18,68.82,41.23,63.28
