,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,43.33,63.33,44.78,75.0,50.0,61.9,46.56,61.49
1,2018 General,28.57,59.21,33.87,40.0,77.27,65.64,40.88,62.07
