,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,49.18,36.84,56.2,50.0,66.07,73.62,64.24,72.7
1,2018 General,37.5,38.57,51.03,44.44,61.33,64.93,41.38,62.5
