,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,44.3,52.32,47.88,57.89,36.36,65.84,48.09,63.99
1,2018 General,30.46,53.87,37.58,31.11,43.48,61.54,27.31,58.72
