,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,50.37,67.97,56.15,62.22,52.84,69.62,60.22,67.22
1,2018 General,40.31,66.63,45.84,48.62,51.79,63.75,52.5,62.71
