,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,0.0,66.0,46.67,25.0,20.0,72.08,60.0,69.88
1,2018 General,0.0,63.57,41.18,0.0,28.57,68.28,33.33,65.59
