,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,54.18,62.51,53.51,48.78,47.14,68.87,46.98,64.53
1,2018 General,51.15,62.28,44.59,53.73,48.21,64.74,35.14,60.95
