,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,59.26,59.65,40.38,50.0,63.16,69.3,47.8,64.56
1,2018 General,47.83,59.16,42.59,36.36,67.35,65.74,42.75,61.88
