,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,51.3,51.94,44.74,48.08,43.07,64.37,39.01,58.44
1,2018 General,36.26,47.07,31.45,29.37,40.08,56.95,27.57,51.41
