,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,52.52,61.03,49.66,48.28,46.78,70.69,47.04,64.49
1,2018 General,41.49,58.58,42.35,38.74,44.79,66.61,33.69,60.14
