,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,39.06,51.86,34.02,39.53,33.93,52.14,31.3,48.59
1,2018 General,30.61,52.46,28.72,35.71,32.02,48.13,25.53,45.77
