,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,47.06,56.02,39.22,0.0,60.87,70.01,41.81,64.17
1,2018 General,26.32,54.42,25.27,75.0,62.07,65.21,36.29,60.08
