,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,41.86,61.65,43.42,50.0,66.67,69.32,55.46,65.86
1,2018 General,25.64,59.49,39.24,44.44,42.86,68.32,33.44,63.03
