,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,46.34,52.07,49.14,57.14,45.07,69.86,36.23,63.52
1,2018 General,45.45,47.99,35.16,42.11,34.52,63.38,23.41,56.55
