,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,63.16,54.13,34.78,42.86,40.0,60.58,52.23,58.25
1,2018 General,26.92,50.66,31.58,30.0,33.33,51.4,37.09,49.7
