,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,68.42,59.12,33.33,40.0,65.0,68.57,54.8,65.19
1,2018 General,38.46,49.17,17.65,25.0,33.33,56.7,36.03,52.17
