,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,60.0,54.04,36.84,60.0,38.6,69.99,47.45,64.84
1,2018 General,54.29,53.1,29.22,62.5,36.36,65.98,24.79,59.07
