,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,45.83,54.53,41.88,48.48,39.67,59.37,48.75,56.33
1,2018 General,40.2,54.05,33.44,46.3,36.07,54.32,34.92,49.79
