,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,54.35,65.39,66.67,66.67,80.0,81.08,58.18,76.8
1,2018 General,43.75,68.09,49.44,75.0,50.0,76.52,48.88,73.45
