,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,16.67,49.16,27.27,75.0,28.57,69.42,44.59,63.52
1,2018 General,20.0,43.04,9.52,66.67,42.86,65.28,39.33,58.55
