,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,55.0,57.64,46.51,80.0,46.15,68.81,54.02,63.74
1,2018 General,48.15,50.59,35.58,55.56,53.33,62.3,45.3,56.87
