,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,46.03,50.39,46.93,70.27,52.17,69.14,57.87,67.98
1,2018 General,40.3,41.91,40.28,56.72,45.9,60.57,36.34,58.19
