,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,54.55,69.9,58.9,56.25,63.33,72.9,48.82,71.72
1,2018 General,52.0,70.42,52.22,71.43,46.81,69.27,23.51,68.03
