,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,18.75,37.84,12.76,50.0,12.86,35.34,29.11,33.79
1,2018 General,10.0,36.82,9.76,25.0,17.24,31.14,12.93,28.94
