,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,42.42,52.17,45.74,75.0,65.52,72.01,68.45,71.44
1,2018 General,36.11,45.61,43.33,38.46,52.38,66.07,46.59,64.3
