,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,34.38,48.3,43.97,0.0,56.67,70.96,55.72,69.32
1,2018 General,27.63,43.22,33.33,0.0,48.65,66.6,36.75,63.13
