,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,63.64,50.31,31.43,33.33,45.45,67.79,50.38,61.51
1,2018 General,12.5,52.16,39.47,0.0,36.84,62.75,34.66,58.22
