,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,40.0,49.33,36.4,0.0,44.87,69.53,49.63,63.12
1,2018 General,39.06,50.22,25.1,0.0,40.66,68.58,23.4,59.89
