,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,46.34,57.03,27.71,25.0,60.0,68.25,44.61,62.27
1,2018 General,42.42,54.68,33.33,50.0,31.03,67.16,29.51,59.45
