,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,45.45,50.21,38.57,25.0,26.09,66.49,42.98,62.87
1,2018 General,28.57,52.83,30.37,16.67,42.11,64.59,25.89,60.8
