,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,70.0,54.55,70.83,60.0,72.73,75.81,74.47,75.68
1,2018 General,37.5,26.47,48.94,37.5,59.09,66.36,57.04,65.56
