,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,61.11,43.88,40.38,100.0,43.75,71.41,52.28,66.31
1,2018 General,56.25,42.03,33.96,33.33,43.75,68.02,37.39,62.34
