,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,53.83,66.29,52.87,46.88,49.06,67.57,51.83,64.66
1,2018 General,44.56,64.51,39.93,39.44,49.81,62.45,47.25,60.97
