,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,80.0,62.49,30.77,80.0,61.54,75.4,52.27,69.73
1,2018 General,37.5,61.97,46.67,42.86,62.5,74.12,36.23,67.55
