,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,58.51,53.84,44.95,50.0,28.28,66.43,49.83,62.09
1,2018 General,41.18,49.84,30.12,36.0,27.96,62.55,27.14,56.96
