,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,38.82,44.44,37.06,36.36,43.12,66.77,45.02,59.68
1,2018 General,35.56,44.01,23.88,23.81,48.45,66.25,33.42,57.97
