,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,20.0,54.89,18.18,50.0,75.0,68.2,39.07,61.69
1,2018 General,22.22,53.11,0.0,100.0,55.56,67.09,29.72,59.25
